y,x,bio5,bio14,ndvi_average,landcover_veg_tree,diversidad_topo,bio6,human_footprint,ndvi_range,presencia
59.12581,25.51495,209,31,0.469999998807907,55.189998626709,3,-94,19.1100006103516,0.800000011920929,1
61.1008,11.13884,178,27,0.349999994039536,30.0499992370605,82,-129,27.1700000762939,0.829999983310699,1
65.48399,14.10677,147,61,0.230000004172325,16.8199996948242,161,-100,16.1100006103516,0.889999985694885,1
61.79167,12.05055,160,25,0.280000001192093,15.1599998474121,98,-146,13.3900003433228,0.810000002384186,1
60.5008,12.31256,195,31,0.629999995231628,64.4700012207031,73,-103,25.8500003814697,0.439999997615814,1
60.58046,10.24098,202,31,0.300000011920929,55.060001373291,138,-108,24.7299995422363,0.699999988079071,1
65.47207,13.32464,143,85,0.0599999986588955,9.47000026702881,256,-87,13.2700004577637,0.639999985694885,1
61.74765,10.51497,165,27,0.349999994039536,27.1100006103516,139,-139,14.8900003433228,0.829999983310699,1
62.26788,10.91865,159,24,0.330000013113022,31.1599998474121,152,-141,25.6700000762939,0.870000004768372,1
65.49524,13.5717,146,75,0.0700000002980232,10.6899995803833,202,-90,16.1100006103516,0.790000021457672,1
64.99689,13.28446,153,70,0.140000000596046,11.3400001525879,172,-90,23.1700000762939,0.879999995231628,1
63.06141,11.625,158,38,0.259999990463257,15.1999998092651,167,-125,19.5799999237061,0.870000004768372,1
64.65523,12.54577,168,69,0.330000013113022,27.1399993896484,129,-74,24.5300006866455,0.870000004768372,1
64.12405,11.26547,169,60,0.180000007152557,38.810001373291,107,-64,32.5,0.779999971389771,1
64.26515,11.63226,164,64,0.310000002384186,36.6399993896484,87,-72,24.9300003051758,0.829999983310699,1
62.94596,11.06589,159,33,0.300000011920929,20.3999996185303,168,-123,25.7600002288818,0.870000004768372,1
64.65426,13.15955,148,68,0.0399999991059303,6.8899998664856,108,-103,11.8999996185303,0.779999971389771,1
62.45643,10.9191,159,24,0.330000013113022,28.5599994659424,149,-137,28.6900005340576,0.939999997615814,1
62.10733,11.42217,154,23,0.189999997615814,8.05000019073486,127,-152,9.94999980926514,0.779999971389771,1
61.74496,11.8586,161,24,0.28999999165535,20.7999992370605,166,-146,19.3899993896484,0.779999971389771,1
60.90745,11.41911,195,27,0.509999990463257,56.3699989318848,111,-110,42.2099990844727,0.790000021457672,1
69.77675,29.32239,142,22,0.219999998807907,16.4200000762939,53,-118,15.9899997711182,0.790000021457672,1
63.00712,10.53338,157,42,0.209999993443489,15.2600002288818,86,-105,26.5,0.810000002384186,1
61.06971,10.87353,179,27,0.419999986886978,37.4799995422363,112,-128,24.5200004577637,0.839999973773956,1
43.12,-4.41,214,49,0.560000002384186,45.5200004577637,327,-20,25.0400009155273,0.529999971389771,1
58.86345,26.39316,212,28,0.5,54.4000015258789,14,-100,23.3999996185303,0.810000002384186,1
62.46882,11.3965,151,26,0.219999998807907,11.5100002288818,109,-153,22.4599990844727,0.870000004768372,1
60.23491,8.59043,142,43,0.200000002980232,15.4300003051758,197,-131,15.960000038147,0.819999992847443,1
61.8851,11.06077,173,21,0.370000004768372,36.689998626709,193,-134,18.25,0.810000002384186,1
62.24485,10.50927,161,28,0.259999990463257,30.1100006103516,153,-133,23.5900001525879,0.829999983310699,1
64.43198,13.50474,160,55,0.0299999993294477,19.3500003814697,84,-103,15.1099996566772,0.800000011920929,1
70.0443,28.11083,144,23,0.0799999982118607,12.9499998092651,85,-129,12.6599998474121,0.75,1
61.60129,7.25844,139,62,0.0900000035762787,10.9499998092651,417,-77,14.3299999237061,0.600000023841858,1
61.56161,12.1602,168,24,0.239999994635582,25.7700004577637,136,-138,18.2199993133545,0.829999983310699,1
69.95029,25.21737,156,26,0.109999999403954,9.51000022888184,196,-217,12.0900001525879,0.779999971389771,1
58.38028,7.30361,158,79,0.509999990463257,50.9099998474121,112,-46,17.7700004577637,0.589999973773956,1
63.21329,10.61393,163,46,0.330000013113022,35.0999984741211,124,-88,40.2400016784668,0.790000021457672,1
42.92,-5.39,232,43,0.569999992847443,28.1499996185303,221,-29,26.5599994659424,0.25,1
63.84606,12.28492,156,60,0.200000002980232,10.6700000762939,103,-103,18.4400005340576,0.850000023841858,1
60.92252,9.60999,180,32,0.370000004768372,39.3800010681152,169,-137,27.0200004577637,0.829999983310699,1
61.37805,10.39973,163,30,0.330000013113022,27.4300003051758,79,-143,19.8500003814697,0.920000016689301,1
62.11013,11.14444,158,23,0.280000001192093,24.3999996185303,216,-146,13.0100002288818,0.839999973773956,1
63.70944,11.5744,171,53,0.340000003576279,42.4099998474121,162,-81,48.5299987792969,0.860000014305115,1
62.07756,9.86075,154,36,0.239999994635582,15.6899995803833,114,-134,15.6999998092651,0.800000011920929,1
62.6886,11.61033,148,33,0.0500000007450581,6.75,109,-147,19.8799991607666,0.839999973773956,1
60.6322,11.53742,189,34,0.529999971389771,57.2200012207031,96,-111,24.7600002288818,0.680000007152557,1
69.4628,30.02664,145,18,-0.0599999986588955,14.5600004196167,39,-113,33.5099983215332,0.639999985694885,1
45.133,23.0233,261,38,0.600000023841858,33.5499992370605,189,-51,40.3400001525879,0.550000011920929,1
58.38474,23.82231,209,28,0.0799999982118607,44.0900001525879,11,-83,25.3999996185303,0.660000026226044,1
59.28067,26.87887,215,26,0.5,61.75,8,-101,26.0699996948242,0.810000002384186,1
59.21107,25.16129,209,33,0.439999997615814,47.7700004577637,8,-90,31.4599990844727,0.889999985694885,1
59.01263,23.87356,210,30,0.5,61.4900016784668,7,-85,21.1100006103516,0.810000002384186,1
64.32688,12.61645,167,61,0.330000013113022,33.6300010681152,115,-84,12.8800001144409,1.01999998092651,1
61.34127,9.72534,164,33,0.280000001192093,24.0900001525879,112,-142,20.8899993896484,0.889999985694885,1
63.95788,11.87496,165,57,0.280000001192093,32.9799995422363,113,-87,22.1900005340576,0.790000021457672,1
61.9725,12.20426,170,24,0.270000010728836,28.6399993896484,36,-137,15.3999996185303,0.769999980926514,1
60.41246,9.3522,181,36,0.370000004768372,36.8400001525879,286,-129,23.1200008392334,0.930000007152557,1
62.87377,10.79612,160,36,0.340000003576279,29.0100002288818,192,-113,25.1800003051758,0.899999976158142,1
62.94843,11.33892,145,36,0.159999996423721,6.25,113,-143,19.2800006866455,0.850000023841858,1
62.00702,10.67872,163,25,0.310000002384186,29.1200008392334,194,-138,29.5699996948242,0.850000023841858,1
61.64049,10.9627,175,24,0.370000004768372,32.9799995422363,189,-134,20.7299995422363,0.850000023841858,1
64.95545,13.80338,148,61,-0.0700000002980232,9.9399995803833,156,-106,8.90999984741211,0.779999971389771,1
69.33124,20.43643,134,30,0.0799999982118607,10.2299995422363,327,-165,13.6700000762939,0.670000016689301,1
64.40171,12.17822,162,68,0.270000010728836,28.1800003051758,228,-80,34.7999992370605,1.01999998092651,1
61.82098,8.48667,132,37,0.150000005960464,17.3799991607666,371,-126,15.6599998474121,0.759999990463257,1
62.54957,10.37552,146,36,0.150000005960464,12.210000038147,138,-132,22.4300003051758,0.870000004768372,1
58.9321,25.33049,209,32,0.479999989271164,60.7700004577637,6,-93,18.4200000762939,0.810000002384186,1
61.17009,8.36239,132,39,-0.00999999977648258,5.28999996185303,236,-135,15.1199998855591,0.649999976158142,1
64.54798,12.7453,160,69,0.259999990463257,18.2199993133545,174,-84,15.710000038147,0.870000004768372,1
65.73988,14.08245,153,65,-0.699999988079071,6.1399998664856,118,-82,10.2700004577637,0.259999990463257,1
64.25593,10.74991,154,64,0.340000003576279,27.2199993133545,98,-65,18.3899993896484,0.899999976158142,1
62.14379,9.00575,153,37,0.280000001192093,20.2000007629395,232,-125,31.5499992370605,0.850000023841858,1
61.46142,10.56913,155,31,0.200000002980232,10.9200000762939,74,-148,16.6000003814697,0.870000004768372,1
59.13357,26.56313,212,28,0.46000000834465,46.0299987792969,12,-101,25.4899997711182,0.829999983310699,1
48.917,16.65,252,28,0.379999995231628,11.9399995803833,41,-45,43.5099983215332,0.600000023841858,1
